slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-thyroid-cancer,Thyroid Cancer,Thyroid cancer,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-thyroid-cancer.html
is-thyroid-lump,Thyroid Lump,,,unmatched,unmatched,,extracted-illness-scripts\is-thyroid-lump.html
is-tmj-dysfunction,TMJ Dysfunction,,,unmatched,unmatched,,extracted-illness-scripts\is-tmj-dysfunction.html
is-toddlers-diarrhoea,Toddlerâ€™s Diarrhoea (Paediatrics),,,unmatched,unmatched,,extracted-illness-scripts\is-toddlers-diarrhoea.html
is-tonsillitis,Tonsillitis,,,unmatched,unmatched,,extracted-illness-scripts\is-tonsillitis.html
is-torsades-de-pointes,Torsades de Pointes,,,unmatched,unmatched,,extracted-illness-scripts\is-torsades-de-pointes.html
is-torticollis,Torticollis,,,unmatched,unmatched,,extracted-illness-scripts\is-torticollis.html
is-toxic-and-nutritional-optic-neuropathy,Toxic and Nutritional Optic Neuropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-toxic-and-nutritional-optic-neuropathy.html
is-transient-global-amnesia,Transient Global Amnesia (TGA),,,unmatched,unmatched,,extracted-illness-scripts\is-transient-global-amnesia.html
is-transient-ischaemic-attack,Transient Ischaemic Attack (TIA),Transient ischaemic attacks (TIA),,condition,fuzzy:1.26,Brain and spinal cord,extracted-illness-scripts\is-transient-ischaemic-attack.html
is-transient-synovitis,Transient Synovitis,,,unmatched,unmatched,,extracted-illness-scripts\is-transient-synovitis.html
is-trauma-induced-bleeding-and-bruising,Trauma-Induced Bleeding and Bruising,,,unmatched,unmatched,,extracted-illness-scripts\is-trauma-induced-bleeding-and-bruising.html
is-trauma-induced-breast-pain-or-swelling,Trauma-induced Breast Pain or Swelling,,,unmatched,unmatched,,extracted-illness-scripts\is-trauma-induced-breast-pain-or-swelling.html
is-trauma-induced-ear-pain,Trauma-induced Ear Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-trauma-induced-ear-pain.html
is-trauma-induced-haematuria,Trauma-Induced Haematuria,,,unmatched,unmatched,,extracted-illness-scripts\is-trauma-induced-haematuria.html
is-trauma-induced-mouth-pain,Trauma-Induced Mouth Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-trauma-induced-mouth-pain.html
