slug,title,matched_condition,matched_presentation,match_basis,match_method,categories,source_file
is-gonorrhoea,Gonorrhoea,Gonorrhoea,,condition,exact,Infections,extracted-illness-scripts\is-gonorrhoea.html
is-gord,Gastro-Oesophageal Reflux Disease,Gastro-oesophageal reflux disease (including Barrett oesophagus),,condition,fuzzy:1.18,Gastrointestinal tract,extracted-illness-scripts\is-gord.html
is-gout,Gout,,,unmatched,unmatched,,extracted-illness-scripts\is-gout.html
is-gravitational-oedema,Gravitational Oedema,,,unmatched,unmatched,,extracted-illness-scripts\is-gravitational-oedema.html
is-guillain-barre-syndrome,Guillain-BarrÃ© Syndrome,,,unmatched,unmatched,,extracted-illness-scripts\is-guillain-barre-syndrome.html
is-haemochromatosis,Haemochromatosis,Haemochromatosis,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-haemochromatosis.html
is-haemolytic-anaemia,Haemolytic Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-haemolytic-anaemia.html
is-haemoptysis,Haemoptysis,,,unmatched,unmatched,,extracted-illness-scripts\is-haemoptysis.html
is-haemorrhoids,Haemorrhoids,Haemorrhoids,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-haemorrhoids.html
is-hallux-valgus,Hallux Valgus,,,unmatched,unmatched,,extracted-illness-scripts\is-hallux-valgus.html
is-hand-foot-and-mouth-disease,"Hand, Foot, and Mouth Disease (HFMD)",,,unmatched,unmatched,,extracted-illness-scripts\is-hand-foot-and-mouth-disease.html
is-head-injury,Head Injury,,,unmatched,unmatched,,extracted-illness-scripts\is-head-injury.html
is-heart-failure,Heart Failure,Heart failure,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-heart-failure.html
is-heavy-metal-poisoning,Heavy Metal Poisoning,,,unmatched,unmatched,,extracted-illness-scripts\is-heavy-metal-poisoning.html
is-hepatitis,Hepatitis,,,unmatched,unmatched,,extracted-illness-scripts\is-hepatitis.html
is-hepatocellular-carcinoma,Hepatocellular Carcinoma,Hepatocellular carcinoma,,condition,exact,"Liver, pancreas, biliary system",extracted-illness-scripts\is-hepatocellular-carcinoma.html
is-hepatomegaly,Hepatomegaly,,,unmatched,unmatched,,extracted-illness-scripts\is-hepatomegaly.html
is-hernia,Hernia,Hernias,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-hernia.html
is-herpes-simplex-keratitis,Herpes Simplex Keratitis,,,unmatched,unmatched,,extracted-illness-scripts\is-herpes-simplex-keratitis.html
is-herpes-stomatitis,Herpes Stomatitis,,,unmatched,unmatched,,extracted-illness-scripts\is-herpes-stomatitis.html
is-herpes-zoster-ophthalmicus,Herpes Zoster Ophthalmicus (HZO),,,unmatched,unmatched,,extracted-illness-scripts\is-herpes-zoster-ophthalmicus.html
is-herpes-zoster,Herpes Zoster (Shingles),,,unmatched,unmatched,,extracted-illness-scripts\is-herpes-zoster.html
is-hhs,Hyperosmolar Hyperglycaemic State (HHS),Hyperosmolar hyperglycaemic state (HHS),,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-hhs.html
is-hiatus-hernia,Hiatus Hernia,Hiatus hernia,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-hiatus-hernia.html
is-hidradenitis-suppurativa,Hidradenitis Suppurativa,Folliculitis and Hidradenitis suppurativa,,condition,fuzzy:1.12,Skin and soft tissue,extracted-illness-scripts\is-hidradenitis-suppurativa.html
is-hip-or-pelvis-fracture,Hip or Pelvis Fracture,,,unmatched,unmatched,,extracted-illness-scripts\is-hip-or-pelvis-fracture.html
is-hip-pain-and-back-pain,Hip Pain and Back Pain,Lower back pain and sciatica,,condition,fuzzy:1.22,Musculoskeletal,extracted-illness-scripts\is-hip-pain-and-back-pain.html
is-hirschsprungs-disease-children,Hirschsprungâ€™s Disease (Children),,,unmatched,unmatched,,extracted-illness-scripts\is-hirschsprungs-disease-children.html
is-hiv-ars,HIV (Acute Retroviral Syndrome),,,unmatched,unmatched,,extracted-illness-scripts\is-hiv-ars.html
is-hiv-associated-pneumocystis-pneumonia,HIV-Associated Pneumocystis Pneumonia (PCP),Pneumonia,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-hiv-associated-pneumocystis-pneumonia.html
is-hiv,HIV (Human Immunodeficiency Virus),Human immunodeficiency virus (HIV),,condition,fuzzy:1.60,Infections,extracted-illness-scripts\is-hiv.html
is-hsp,Henoch-SchÃ¶nlein Purpura (HSP),,,unmatched,unmatched,,extracted-illness-scripts\is-hsp.html
is-huntingtons-disease,Huntington's Disease,Huntington's disease,,condition,fuzzy:1.35,Genetic and congenital,extracted-illness-scripts\is-huntingtons-disease.html
is-hydrocephalus,Hydrocephalus,,,unmatched,unmatched,,extracted-illness-scripts\is-hydrocephalus.html
is-hyperaldosteronism,Hyperaldosteronism,,,unmatched,unmatched,,extracted-illness-scripts\is-hyperaldosteronism.html
is-hypercalcaemia,Hypercalcaemia,,,unmatched,unmatched,,extracted-illness-scripts\is-hypercalcaemia.html
is-hyperemesis-gravidarum,Hyperemesis Gravidarum,Hyperemesis gravidarum,,condition,exact,Pregnancy and the puerperium,extracted-illness-scripts\is-hyperemesis-gravidarum.html
is-hyperglycaemic-crisis,Hyperglycaemic Crisis,,,unmatched,unmatched,,extracted-illness-scripts\is-hyperglycaemic-crisis.html
is-hyperprolactinaemia,Hyperprolactinaemia,Hyperprolactinaemia,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-hyperprolactinaemia.html
is-hyperthyroidism,Hyperthyroidism,,,unmatched,unmatched,,extracted-illness-scripts\is-hyperthyroidism.html
is-hyperventilation,Hyperventilation,,,unmatched,unmatched,,extracted-illness-scripts\is-hyperventilation.html
is-hypoalbuminaemia,Hypoalbuminaemia,,,unmatched,unmatched,,extracted-illness-scripts\is-hypoalbuminaemia.html
is-hypoglycaemia,Hypoglycaemia,Hypoglycaemia,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-hypoglycaemia.html
is-hypothyroidism-myxoedema,Hypothyroidism (Myxoedema),Hypothyroidism,,condition,fuzzy:1.25,Endocrine and metabolic,extracted-illness-scripts\is-hypothyroidism-myxoedema.html
is-hypothyroidism,Hypothyroidism,Hypothyroidism,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-hypothyroidism.html
is-hypovolaemic-shock,Hypovolaemic Shock,Shock,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-hypovolaemic-shock.html
is-hypoxia,Hypoxia,,,unmatched,unmatched,,extracted-illness-scripts\is-hypoxia.html
is-idiopathic-intracranial-hypertension,Idiopathic Intracranial Hypertension (IIH),Idiopathic intracranial hypertension,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-idiopathic-intracranial-hypertension.html
is-iliopsoas-abscess,Iliopsoas Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-iliopsoas-abscess.html
is-immunisation-reaction,Immunisation Reaction,,,unmatched,unmatched,,extracted-illness-scripts\is-immunisation-reaction.html
is-immunodeficiency,Immunodeficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-immunodeficiency.html
is-impacted-ear-wax,Impacted Ear Wax (Cerumen Impaction),,,unmatched,unmatched,,extracted-illness-scripts\is-impacted-ear-wax.html
is-inborn-errors-of-metabolism,Inborn Errors of Metabolism,,,unmatched,unmatched,,extracted-illness-scripts\is-inborn-errors-of-metabolism.html
is-incarcerated-hernia,Incarcerated Hernia,Hernias,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-incarcerated-hernia.html
is-incorrectly-sited-iucd,Incorrectly Sited IUCD,,,unmatched,unmatched,,extracted-illness-scripts\is-incorrectly-sited-iucd.html
is-infantile-colic,Infantile Colic,,,unmatched,unmatched,,extracted-illness-scripts\is-infantile-colic.html
is-infective-endocarditis,Infective Endocarditis,Infective endocarditis,,condition,exact,Heart and vasculature,extracted-illness-scripts\is-infective-endocarditis.html
is-inflammatory-bowel-disease,Inflammatory Bowel Disease (IBD),"Inflammatory bowel disease (including Crohn disease, ulcerative colitis)",,condition,fuzzy:1.14,Gastrointestinal tract,extracted-illness-scripts\is-inflammatory-bowel-disease.html
is-influenza,Influenza,Influenza,,condition,exact,Infections,extracted-illness-scripts\is-influenza.html
is-ingrown-toenail,Ingrown Toenail (IGTN),,,unmatched,unmatched,,extracted-illness-scripts\is-ingrown-toenail.html
is-inguinal-or-femoral-hernia,Inguinal or Femoral Hernia,Hernias,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-inguinal-or-femoral-hernia.html
is-insomnia,Insomnia,,,unmatched,unmatched,,extracted-illness-scripts\is-insomnia.html
is-intermittent-claudication,Intermittent Claudication,,,unmatched,unmatched,,extracted-illness-scripts\is-intermittent-claudication.html
is-interstitial-cystitis,Interstitial Cystitis,,,unmatched,unmatched,,extracted-illness-scripts\is-interstitial-cystitis.html
is-interstitial-lung-disease,Interstitial Lung Disease (ILD),Interstitial lung disease (including fibrotic lung disease),,condition,fuzzy:1.22,"Lungs, pleura and airways",extracted-illness-scripts\is-interstitial-lung-disease.html
is-intestinal-obstruction,Intestinal Obstruction,Intestinal obstruction and ileus,,condition,fuzzy:1.12,Gastrointestinal tract,extracted-illness-scripts\is-intestinal-obstruction.html
is-intra-abdominal-abscess,Intra-abdominal Abscess,Abscess,,condition,exact,Infections,extracted-illness-scripts\is-intra-abdominal-abscess.html
is-intussusception,Intussusception,,,unmatched,unmatched,,extracted-illness-scripts\is-intussusception.html
is-iritis-uveitis,Iritis (Uveitis),,,unmatched,unmatched,,extracted-illness-scripts\is-iritis-uveitis.html
is-iron-deficiency-anaemia,Iron Deficiency Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-iron-deficiency-anaemia.html
is-iron-deficiency,Iron Deficiency,,,unmatched,unmatched,,extracted-illness-scripts\is-iron-deficiency.html
is-irritable-bowel-syndrome-adolescents,Irritable Bowel Syndrome (Adolescents),Irritable bowel syndrome,,condition,fuzzy:1.45,Gastrointestinal tract,extracted-illness-scripts\is-irritable-bowel-syndrome-adolescents.html
is-irritable-bowel-syndrome,Irritable Bowel Syndrome (IBS),Irritable bowel syndrome,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-irritable-bowel-syndrome.html
is-ivc-obstruction,IVC Obstruction,,,unmatched,unmatched,,extracted-illness-scripts\is-ivc-obstruction.html
is-joint-pains,Joint Pains,,,unmatched,unmatched,,extracted-illness-scripts\is-joint-pains.html
is-juvenile-idiopathic-arthritis,Juvenile Idiopathic Arthritis (JIA),Juvenile idiopathic arthritis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-juvenile-idiopathic-arthritis.html
is-keratitis-bacterial,Keratitis (Bacterial),,,unmatched,unmatched,,extracted-illness-scripts\is-keratitis-bacterial.html
is-keratoconjunctivitis,Keratoconjunctivitis,,,unmatched,unmatched,,extracted-illness-scripts\is-keratoconjunctivitis.html
is-knee-fracture-or-dislocation,Knee Fracture or Dislocation,Joint dislocation or subluxation,,condition,fuzzy:1.12,Musculoskeletal,extracted-illness-scripts\is-knee-fracture-or-dislocation.html
is-knee-osteoarthritis,Knee Osteoarthritis,Osteoarthritis,,condition,exact,Musculoskeletal,extracted-illness-scripts\is-knee-osteoarthritis.html
is-labyrinthitis,Labyrinthitis,,,unmatched,unmatched,,extracted-illness-scripts\is-labyrinthitis.html
is-lactose-intolerance,Lactose Intolerance,,,unmatched,unmatched,,extracted-illness-scripts\is-lactose-intolerance.html
is-laryngeal-cancer,Laryngeal Cancer,,,unmatched,unmatched,,extracted-illness-scripts\is-laryngeal-cancer.html
is-laryngitis,Laryngitis,,,unmatched,unmatched,,extracted-illness-scripts\is-laryngitis.html
is-left-ventricular-failure,Left Ventricular Failure,,,unmatched,unmatched,,extracted-illness-scripts\is-left-ventricular-failure.html
is-leukaemia,Leukaemia,Leukaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-leukaemia.html
is-lichen-planus,Lichen Planus,Lichen planus,,condition,exact,Skin and soft tissue,extracted-illness-scripts\is-lichen-planus.html
is-lichen-simplex-chronicus,Lichen Simplex Chronicus,,,unmatched,unmatched,,extracted-illness-scripts\is-lichen-simplex-chronicus.html
is-ligament-injury,Ligament Injury,,,unmatched,unmatched,,extracted-illness-scripts\is-ligament-injury.html
is-lipoma,Lipoma,Lipoma,,condition,exact,Skin and soft tissue,extracted-illness-scripts\is-lipoma.html
is-liver-cirrhosis,Liver Cirrhosis,,,unmatched,unmatched,,extracted-illness-scripts\is-liver-cirrhosis.html
is-liver-failure,Liver Failure,Liver failure,,condition,exact,"Liver, pancreas, biliary system",extracted-illness-scripts\is-liver-failure.html
is-lrti,Lower Respiratory Tract Infection (LRTI),Lower respiratory tract infection,,condition,fuzzy:1.55,"Lungs, pleura and airways",extracted-illness-scripts\is-lrti.html
is-lumbar-disc-prolapse,Lumbar Disc Prolapse,Intervertebral disc prolapse,,condition,fuzzy:1.16,Musculoskeletal,extracted-illness-scripts\is-lumbar-disc-prolapse.html
is-lumbar-radiculopathy,Lumbar Radiculopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-lumbar-radiculopathy.html
is-lung-cancer,Lung Cancer,Lung cancer,,condition,exact,"Lungs, pleura and airways",extracted-illness-scripts\is-lung-cancer.html
is-lyme-disease,Lyme Disease,Zoonotic infections (including Lyme disease),,condition,fuzzy:1.08,Infections,extracted-illness-scripts\is-lyme-disease.html
is-lymphadenopathy,Lymphadenopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-lymphadenopathy.html
is-lymphoedema,Lymphoedema,,,unmatched,unmatched,,extracted-illness-scripts\is-lymphoedema.html
is-lymphoma,Lymphoma,Lymphoma,,condition,exact,Blood and lymph,extracted-illness-scripts\is-lymphoma.html
is-macrocytic-anaemia,Macrocytic Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-macrocytic-anaemia.html
is-macular-degeneration,Macular Degeneration,Macular degeneration,,condition,exact,Eye,extracted-illness-scripts\is-macular-degeneration.html
is-malabsorption,Malabsorption,Malabsorption,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-malabsorption.html
is-malignancy-related-weight-loss,Malignancy-related Weight Loss,,,unmatched,unmatched,,extracted-illness-scripts\is-malignancy-related-weight-loss.html
is-malignancy,Malignancy,,,unmatched,unmatched,,extracted-illness-scripts\is-malignancy.html
is-malignant-hypertension,Malignant Hypertension,,,unmatched,unmatched,,extracted-illness-scripts\is-malignant-hypertension.html
is-malignant-otitis-externa,Malignant Otitis Externa,Otitis externa,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-malignant-otitis-externa.html
is-mallory-weiss-tear,Mallory-Weiss Tear,Mallory-Weiss tear,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-mallory-weiss-tear.html
is-malnutrition,Malnutrition,Malnutrition,,condition,exact,Multi-system diseases,extracted-illness-scripts\is-malnutrition.html
is-march-fracture,March Fracture,,,unmatched,unmatched,,extracted-illness-scripts\is-march-fracture.html
is-mastitis,Mastitis,,,unmatched,unmatched,,extracted-illness-scripts\is-mastitis.html
is-mastoiditis,Mastoiditis,Mastoiditis,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-mastoiditis.html
is-measles,Measles,Measles,,condition,exact,Infections,extracted-illness-scripts\is-measles.html
is-mechanical-neck-pain,Mechanical Neck Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-mechanical-neck-pain.html
is-mediastinal-lymphoma,Mediastinal Lymphoma,Lymphoma,,condition,exact,Blood and lymph,extracted-illness-scripts\is-mediastinal-lymphoma.html
is-medically-unexplained-chest-pain,Medically Unexplained Chest Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-medically-unexplained-chest-pain.html
is-medically-unexplained-symptoms,Medically Unexplained Symptoms (MUS),Medically unexplained symptoms,,condition,exact,Multi-system diseases,extracted-illness-scripts\is-medically-unexplained-symptoms.html
is-medication-induced-anaemia,Medication-Induced Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-medication-induced-anaemia.html
is-medication-induced-anxiety,Medication-Induced Anxiety,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-anxiety.html
is-medication-induced-arthropathy,Medication-Induced Arthropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-arthropathy.html
is-medication-induced-bleeding-and-bruising,Medication-Induced Bleeding and Bruising,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-bleeding-and-bruising.html
is-medication-induced-breast-pain-or-swelling,Medication-Induced Breast Pain or Swelling,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-breast-pain-or-swelling.html
is-medication-induced-calf-pain,Medication-induced Calf Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-calf-pain.html
is-medication-induced-constipation,Medication-induced Constipation,Constipation,,condition,exact,Gastrointestinal tract,extracted-illness-scripts\is-medication-induced-constipation.html
is-medication-induced-delirium,Medication-Induced Delirium,Delirium,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-medication-induced-delirium.html
is-medication-induced-diarrhoea,Medication-Induced Diarrhoea,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-diarrhoea.html
is-medication-induced-dizziness,Medication-Induced Dizziness,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-dizziness.html
is-medication-induced-dyspepsia,Medication-Induced Dyspepsia,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-dyspepsia.html
is-medication-induced-dyspnoea,Medication-Induced Dyspnoea,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-dyspnoea.html
is-medication-induced-falls,Medication-Induced Falls,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-falls.html
is-medication-induced-fatigue,Medication-induced Fatigue,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-fatigue.html
is-medication-induced-gait-abnormalities,Medication-Induced Gait Abnormalities,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-gait-abnormalities.html
is-medication-induced-haematemesis-and-melaena,Medication-induced Haematemesis & Melaena,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-haematemesis-and-melaena.html
is-medication-induced-haematuria,Medication-induced Haematuria,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-haematuria.html
is-medication-induced-hand-and-arm-pain,Medication-Induced Hand and Arm Pain (e.g. Statins),,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-hand-and-arm-pain.html
is-medication-induced-hearing-loss,Medication-induced Hearing Loss,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-hearing-loss.html
is-medication-induced-hip-pain-statins,Medication-Induced Hip Pain (e.g. Statins),,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-hip-pain-statins.html
is-medication-induced-hypertension,Medication-Induced Hypertension,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-hypertension.html
is-medication-induced-jaundice,Medication-Induced Jaundice,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-jaundice.html
is-medication-induced-leg-pain,Medication-Induced Leg Pain (e.g. Statins),,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-leg-pain.html
is-medication-induced-leg-swelling,Medication-Induced Leg Swelling,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-leg-swelling.html
is-medication-induced-lymphadenopathy,Medication-induced Lymphadenopathy,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-lymphadenopathy.html
is-medication-induced-muscle-pain-and-weakness,Medication-Induced Muscle Pain and Weakness,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-muscle-pain-and-weakness.html
is-medication-induced-nasal-symptoms,Medication-Induced Nasal Symptoms,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-nasal-symptoms.html
is-medication-induced-nausea-and-vomiting,Medication-Induced Nausea and Vomiting,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-nausea-and-vomiting.html
is-medication-induced-neuropathy,Medication-Induced Neuropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-neuropathy.html
is-medication-induced-pruritus,Medication-Induced Pruritus,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-pruritus.html
is-medication-induced-syncope,Medication-Induced Syncope,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-syncope.html
is-medication-induced-tremor,Medication-Induced Tremor,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-tremor.html
is-medication-induced-urinary-symptoms,Medication-Induced Urinary Symptoms,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-urinary-symptoms.html
is-medication-induced-vaginal-bleeding,Medication-Induced Vaginal Bleeding,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-vaginal-bleeding.html
is-medication-induced-weight-loss,Medication-Induced Weight Loss,,,unmatched,unmatched,,extracted-illness-scripts\is-medication-induced-weight-loss.html
is-medication-overuse-headache,Medication Overuse Headache (MOH),,,unmatched,unmatched,,extracted-illness-scripts\is-medication-overuse-headache.html
is-menieres-disease,Meniere's Disease,Ménière disease,,condition,fuzzy:1.35,"Ear, nose and throat",extracted-illness-scripts\is-menieres-disease.html
is-meningitis,Meningitis,Meningitis,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-meningitis.html
is-menopause,Menopause,,,unmatched,unmatched,,extracted-illness-scripts\is-menopause.html
is-menorrhagia,Menorrhagia (Heavy Menstrual Bleeding),,,unmatched,unmatched,,extracted-illness-scripts\is-menorrhagia.html
is-menstruation-contaminating-urine,Menstruation Contaminating Urine,,,unmatched,unmatched,,extracted-illness-scripts\is-menstruation-contaminating-urine.html
is-meralgia-paraesthetica,Meralgia Paraesthetica,,,unmatched,unmatched,,extracted-illness-scripts\is-meralgia-paraesthetica.html
is-mesenteric-adenitis,Mesenteric Adenitis,Mesenteric adenitis,,condition,exact,Child health,extracted-illness-scripts\is-mesenteric-adenitis.html
is-mesenteric-ischaemia,Mesenteric Ischaemia,,,unmatched,unmatched,,extracted-illness-scripts\is-mesenteric-ischaemia.html
is-metabolic-disorders,Metabolic Disorders,,,unmatched,unmatched,,extracted-illness-scripts\is-metabolic-disorders.html
is-metabolic-neuropathy,Metabolic Neuropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-metabolic-neuropathy.html
is-metabolic-syndrome,Metabolic Syndrome,Metabolic syndrome,,condition,exact,Endocrine and metabolic,extracted-illness-scripts\is-metabolic-syndrome.html
is-metastatic-cancer-chest-wall,Metastatic Cancer (Chest Wall),Metastatic cancer,,condition,fuzzy:1.30,Multi-system diseases,extracted-illness-scripts\is-metastatic-cancer-chest-wall.html
is-metastatic-cancer-prostate-cancer,"Metastatic Cancer (e.g., Prostate Cancer)",Prostate cancer,,condition,exact,Male genitourinary tract,extracted-illness-scripts\is-metastatic-cancer-prostate-cancer.html
is-metastatic-cancer,Metastatic Cancer,Metastatic cancer,,condition,exact,Multi-system diseases,extracted-illness-scripts\is-metastatic-cancer.html
is-metastatic-disease,Metastatic Disease,,,unmatched,unmatched,,extracted-illness-scripts\is-metastatic-disease.html
is-metatarsalgia,Metatarsalgia,,,unmatched,unmatched,,extracted-illness-scripts\is-metatarsalgia.html
is-microcytic-anaemia,Microcytic Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-microcytic-anaemia.html
is-migraine-in-children,Migraine in Children,,,unmatched,unmatched,,extracted-illness-scripts\is-migraine-in-children.html
is-migraine-with-aura,Migraine with Aura,,,unmatched,unmatched,,extracted-illness-scripts\is-migraine-with-aura.html
is-migraine,Migraine,,,unmatched,unmatched,,extracted-illness-scripts\is-migraine.html
is-mild-cognitive-impairment,Mild Cognitive Impairment (MCI),,,unmatched,unmatched,,extracted-illness-scripts\is-mild-cognitive-impairment.html
is-miscarriage,Miscarriage,,,unmatched,unmatched,,extracted-illness-scripts\is-miscarriage.html
is-mittelschmerz,Mittelschmerz,,,unmatched,unmatched,,extracted-illness-scripts\is-mittelschmerz.html
is-molar-pregnancy,Molar Pregnancy,,,unmatched,unmatched,,extracted-illness-scripts\is-molar-pregnancy.html
is-mononeuropathy,Mononeuropathy,,,unmatched,unmatched,,extracted-illness-scripts\is-mononeuropathy.html
is-mortons-neuroma,Morton's Neuroma,,,unmatched,unmatched,,extracted-illness-scripts\is-mortons-neuroma.html
is-motor-neurone-disease,Motor Neurone Disease (MND),Motor neurone disease,,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-motor-neurone-disease.html
is-msk-sprains-and-strains,MSK Sprains and Strains,,,unmatched,unmatched,,extracted-illness-scripts\is-msk-sprains-and-strains.html
is-multiple-myeloma,Multiple Myeloma,Multiple myeloma,,condition,exact,Blood and lymph,extracted-illness-scripts\is-multiple-myeloma.html
is-multiple-sclerosis,Multiple Sclerosis (MS),Multiple sclerosis (MS),,condition,exact,Brain and spinal cord,extracted-illness-scripts\is-multiple-sclerosis.html
is-muscle-cramps,Muscle Cramps,,,unmatched,unmatched,,extracted-illness-scripts\is-muscle-cramps.html
is-musculoskeletal-pain,Musculoskeletal Chest Pain,,,unmatched,unmatched,,extracted-illness-scripts\is-musculoskeletal-pain.html
is-myasthenia-gravis,Myasthenia Gravis,Myasthenia gravis,,condition,exact,Peripheral nervous system and neuromuscular junction,extracted-illness-scripts\is-myasthenia-gravis.html
is-myelodysplastic-syndrome,Myelodysplastic Syndrome (MDS),,,unmatched,unmatched,,extracted-illness-scripts\is-myelodysplastic-syndrome.html
is-myocardial-infarction,Myocardial Infarction (MI),,,unmatched,unmatched,,extracted-illness-scripts\is-myocardial-infarction.html
is-narrow-complex-tachycardia,Narrow Complex Tachycardia (NCT),,,unmatched,unmatched,,extracted-illness-scripts\is-narrow-complex-tachycardia.html
is-nasal-injury-septal-deviation,Nasal Injury/Septal Deviation,,,unmatched,unmatched,,extracted-illness-scripts\is-nasal-injury-septal-deviation.html
is-nasal-polyps,Nasal Polyps,Nasal polyps,,condition,exact,"Ear, nose and throat",extracted-illness-scripts\is-nasal-polyps.html
is-nasopharyngeal-cancer,Nasopharyngeal Cancer,,,unmatched,unmatched,,extracted-illness-scripts\is-nasopharyngeal-cancer.html
is-neonatal-respiratory-distress-syndrome,Neonatal Respiratory Distress Syndrome (RDS),Acute respiratory distress syndrome (ARDS),,condition,fuzzy:1.22,"Lungs, pleura and airways",extracted-illness-scripts\is-neonatal-respiratory-distress-syndrome.html
is-nephrotic-syndrome,Nephrotic Syndrome,Nephrotic syndrome,,condition,exact,Kidneys and urinary tract,extracted-illness-scripts\is-nephrotic-syndrome.html
is-noise-induced-hearing-loss,Noise-Induced Hearing Loss (NIHL),,,unmatched,unmatched,,extracted-illness-scripts\is-noise-induced-hearing-loss.html
is-non-allergic-rhinitis,Non-allergic Rhinitis,,,unmatched,unmatched,,extracted-illness-scripts\is-non-allergic-rhinitis.html
is-non-epileptic-seizure,Non-epileptic Seizure (NES),,,unmatched,unmatched,,extracted-illness-scripts\is-non-epileptic-seizure.html
is-non-ulcer-dyspepsia,Non-ulcer Dyspepsia,,,unmatched,unmatched,,extracted-illness-scripts\is-non-ulcer-dyspepsia.html
is-non-venous-ulceration,Non-venous Ulceration,,,unmatched,unmatched,,extracted-illness-scripts\is-non-venous-ulceration.html
is-normocytic-anaemia,Normocytic Anaemia,Anaemia,,condition,exact,Blood and lymph,extracted-illness-scripts\is-normocytic-anaemia.html
is-obesity,Obesity,Obesity,,condition,exact,Multi-system diseases,extracted-illness-scripts\is-obesity.html
is-obstetric-cholestasis,Obstetric Cholestasis,,,unmatched,unmatched,,extracted-illness-scripts\is-obstetric-cholestasis.html
